,Influencer insta name,instagram name,category_1,category_2,Followers,Audience country(mostly),"Authentic engagement
","Engagement avg
",New_Category
703,officialslystallone,Sly Stallone,Art/Artists,Cinema & Actors/actresses,14.8M,United States,162.9K,206.3K,Art/Artists
705,oliviarodrigo,Olivia Rodrigo,Music,Cinema & Actors/actresses,22.9M,India,2.8M,3.5M,Music & Dance
706,onwardwanna,"Javon ""Wanna"" Walton",Lifestyle,Cinema & Actors/actresses,5.1M,United States,1M,1.7M,Lifestyle
711,paollaoliveirareal,Paolla Oliveira,Cinema & Actors/actresses,Lifestyle,33.6M,Brazil,127.6K,167.4K,Movies
725,phoebejtonkin,Phoebe Tonkin,Beauty,Cinema & Actors/actresses,8.2M,United States,236.8K,338.6K,Beauty
728,playstation,PlayStation,Computers & Gadgets,Machinery & Technologies,28.9M,United States,80.5K,99.3K,Science & Technology
729,pokimanelol,pokimane ❤,Lifestyle,Shows,6M,United States,526.7K,694.8K,Lifestyle
731,polo.capalot,Polo.G🐐,Music,Lifestyle,10.2M,United States,416.9K,685.7K,Music & Dance
738,prillylatuconsina96,Prilly Latuconsina,Cinema & Actors/actresses,Music,46.6M,Indonesia,56.4K,81.6K,Movies
742,pugachevmark,Mark Pugachev,Cars & Motorbikes,Luxury,10M,Russia,358.1K,525.9K,Autos & Vehicles
745,raashiikhanna,Raashii Khanna,Cinema & Actors/actresses,Music,8.1M,India,256.6K,305.9K,Movies
747,rachelvennya,Rachel Vennya Roland,Kids & Toys,Family,6.7M,Indonesia,176.4K,372.5K,Kids & Toys
749,rafaeluccman,Rafael Uccman,Lifestyle,Modeling,8.6M,Brazil,227.1K,472.9K,Lifestyle
754,rakulpreet,Rakul Singh,Cinema & Actors/actresses,Modeling,19.2M,India,334.1K,392.5K,Movies
755,ranveersingh,Ranveer Singh,Cinema & Actors/actresses,Modeling,38.9M,India,314.7K,408.4K,Movies
757,rashmika_mandanna,Rashmika Mandanna,Beauty,Art/Artists,30M,India,1.7M,2M,Beauty
760,realbarbarapalvin,Barbara Palvin,Modeling,Fashion,17.5M,Russia,480.2K,649K,Fashion
765,redvelvet.smtown,Red Velvet Official,Music,Beauty,11.4M,Indonesia,327.9K,398.9K,Music & Dance
768,renebaebae,IRENE,Lifestyle,Modeling,9.9M,Indonesia,1.4M,1.7M,Lifestyle
770,reynmen,reyn,Music,Cinema & Actors/actresses,7M,Turkey,418K,531.5K,Music & Dance
775,riteishd,Riteish Deshmukh,Art/Artists,Cinema & Actors/actresses,13.8M,India,282.2K,328.9K,Art/Artists
777,riyaz.14,Riyaz Aly,Lifestyle,Art/Artists,26.1M,India,399.8K,519.5K,Lifestyle
778,rizkybillar,Muhammad Rizky Billar,Shows,Beauty,12.6M,Indonesia,322.1K,414.8K,Movies
785,rohitsharma45,Rohit Sharma,Sports with a ball,Lifestyle,23.3M,India,1.1M,1.2M,Sports
786,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,Shows,Lifestyle,21.2M,India,788.7K,1.1M,Movies
792,ross_lynch,Ross Shor Lynch,Music,Cinema & Actors/actresses,10M,United States,348.3K,695.5K,Music & Dance
793,ruben_onsu,Ruben Onsu,Cinema & Actors/actresses,Shows,37.9M,Indonesia,64.2K,79.5K,Movies
797,sachintendulkar,Sachin Tendulkar,Sports with a ball,Lifestyle,33.5M,India,333.4K,399.9K,Sports
798,sadiesink_,Sadie Sink,Modeling,Lifestyle,15.3M,Brazil,1.2M,1.7M,Fashion
803,samantharuthprabhuoffl,Samantha,Beauty,Modeling,22.9M,India,584.9K,701.5K,Beauty
804,samoylovaoxana,Samoylova Oxana,Family,Lifestyle,15.2M,Russia,897.6K,1.2M,Other
805,samsmith,Sam Smith,Music,Fashion,14.6M,United States,223.9K,328.4K,Music & Dance
809,sarahhyland,Sarah Hyland,Cinema & Actors/actresses,Lifestyle,9.1M,United States,223K,278.9K,Movies
